codigo,cor,formato,perfume,tamanho,preco,estoque
CIL-BRC-LVB-P,Branco Clássico,Cilíndrica,Lavanda & Baunilha,P,25.0,24
CIL-BRC-LVB-M,Branco Clássico,Cilíndrica,Lavanda & Baunilha,M,55.0,8
CIL-BRC-LVB-G,Branco Clássico,Cilíndrica,Lavanda & Baunilha,G,95.0,5
CIL-BRC-RSB-P,Branco Clássico,Cilíndrica,Rosa Búlgara,P,25.0,28
CIL-BRC-RSB-M,Branco Clássico,Cilíndrica,Rosa Búlgara,M,55.0,13
CIL-BRC-RSB-G,Branco Clássico,Cilíndrica,Rosa Búlgara,G,95.0,9
CIL-BRC-SDA-P,Branco Clássico,Cilíndrica,Sândalo & Âmbar,P,25.0,12
CIL-BRC-SDA-M,Branco Clássico,Cilíndrica,Sândalo & Âmbar,M,55.0,9
CIL-BRC-SDA-G,Branco Clássico,Cilíndrica,Sândalo & Âmbar,G,95.0,26
CIL-BRC-CDB-P,Branco Clássico,Cilíndrica,Cedro & Bergamota,P,25.0,8
CIL-BRC-CDB-M,Branco Clássico,Cilíndrica,Cedro & Bergamota,M,55.0,23
CIL-BRC-CDB-G,Branco Clássico,Cilíndrica,Cedro & Bergamota,G,95.0,28
CIL-BRC-JSN-P,Branco Clássico,Cilíndrica,Jasmim Noturno,P,25.0,19
CIL-BRC-JSN-M,Branco Clássico,Cilíndrica,Jasmim Noturno,M,55.0,7
CIL-BRC-JSN-G,Branco Clássico,Cilíndrica,Jasmim Noturno,G,95.0,20
CIL-BRC-BVC-P,Branco Clássico,Cilíndrica,Baunilha & Canela,P,25.0,18
CIL-BRC-BVC-M,Branco Clássico,Cilíndrica,Baunilha & Canela,M,55.0,6
CIL-BRC-BVC-G,Branco Clássico,Cilíndrica,Baunilha & Canela,G,95.0,5
CIL-BRC-EUH-P,Branco Clássico,Cilíndrica,Eucalipto & Hortelã,P,25.0,7
CIL-BRC-EUH-M,Branco Clássico,Cilíndrica,Eucalipto & Hortelã,M,55.0,11
CIL-BRC-EUH-G,Branco Clássico,Cilíndrica,Eucalipto & Hortelã,G,95.0,9
CIL-BRC-PTV-P,Branco Clássico,Cilíndrica,Patchouli & Vetiver,P,25.0,21
CIL-BRC-PTV-M,Branco Clássico,Cilíndrica,Patchouli & Vetiver,M,55.0,24
CIL-BRC-PTV-G,Branco Clássico,Cilíndrica,Patchouli & Vetiver,G,95.0,3
CIL-BRC-FGM-P,Branco Clássico,Cilíndrica,Figo & Madeira,P,25.0,22
CIL-BRC-FGM-M,Branco Clássico,Cilíndrica,Figo & Madeira,M,55.0,11
CIL-BRC-FGM-G,Branco Clássico,Cilíndrica,Figo & Madeira,G,95.0,26
